date,compound
01/11/2019,203.2874
02/11/2019,178.3068
03/11/2019,191.2831
04/11/2019,167.4784
05/11/2019,184.97
06/11/2019,150.7487
07/11/2019,140.8886
08/11/2019,155.7821
09/11/2019,182.3841
10/11/2019,142.0315
11/11/2019,162.6721
12/11/2019,220.5699
13/11/2019,218.5675
14/11/2019,178.7668
15/11/2019,200.0216
16/11/2019,147.434
17/11/2019,149.5143
18/11/2019,160.9636
19/11/2019,188.0825
20/11/2019,119.0714
21/11/2019,128.7318
22/11/2019,141.0107
23/11/2019,163.5369
24/11/2019,145.9491
25/11/2019,189.8447
26/11/2019,114.5735
27/11/2019,202.4972
28/11/2019,110.2918
29/11/2019,191.9398
30/11/2019,134.5449
01/12/2019,148.5108
02/12/2019,152.3889
03/12/2019,154.0948
04/12/2019,176.4966
05/12/2019,136.6777
06/12/2019,124.241
07/12/2019,153.3045
08/12/2019,178.6877
09/12/2019,163.3676
10/12/2019,159.0265
11/12/2019,228.6723
12/12/2019,191.2539
13/12/2019,193.4748
14/12/2019,204.8016
15/12/2019,190.0733
16/12/2019,236.7276
17/12/2019,212.787
18/12/2019,224.2564
19/12/2019,199.8762
20/12/2019,208.7668
21/12/2019,227.942
22/12/2019,266.087
23/12/2019,261.3021
24/12/2019,198.4332
25/12/2019,221.0175
26/12/2019,205.533
27/12/2019,216.8411
28/12/2019,267.5148
29/12/2019,265.6574
30/12/2019,256.0244
31/12/2019,253.8552
01/01/2020,256.3724
02/01/2020,212.2869
03/01/2020,233.3323
04/01/2020,336.1648
05/01/2020,352.3002
06/01/2020,265.8575
07/01/2020,289.1228
08/01/2020,280.4248
09/01/2020,252.2055
10/01/2020,252.1424
11/01/2020,248.2908
12/01/2020,269.0957
13/01/2020,219.2956
14/01/2020,335.2373
15/01/2020,303.3771
16/01/2020,270.5006
17/01/2020,238.9632
18/01/2020,287.5327
19/01/2020,266.7043
20/01/2020,288.5326
21/01/2020,297.5526
22/01/2020,251.1046
23/01/2020,271.4266
24/01/2020,274.5356
25/01/2020,438.0128
26/01/2020,400.5131
27/01/2020,231.5247
28/01/2020,323.2912
29/01/2020,328.0578
30/01/2020,284.9021
31/01/2020,276.1119
01/02/2020,223.2006
02/02/2020,858.3267
03/02/2020,373.8965
04/02/2020,344.6365
05/02/2020,345.5771
06/02/2020,343.3503
07/02/2020,275.7841
08/02/2020,276.018
09/02/2020,402.4658
10/02/2020,300.2215
11/02/2020,340.7051
12/02/2020,326.838
13/02/2020,280.8144
14/02/2020,277.6327
15/02/2020,257.4547
16/02/2020,239.9841
17/02/2020,237.8402
18/02/2020,312.1849
19/02/2020,255.865
20/02/2020,169.3166
21/02/2020,200.4828
22/02/2020,182.7666
23/02/2020,218.7661
24/02/2020,206.4851
25/02/2020,224.3173
26/02/2020,242.0164
27/02/2020,257.8757
28/02/2020,285.961
29/02/2020,194.4725
01/03/2020,213.3938
02/03/2020,137.3948
03/03/2020,183.4266
04/03/2020,196.2386
05/03/2020,252.0635
06/03/2020,173.6249
07/03/2020,160.285
08/03/2020,136.7753
09/03/2020,165.9736
10/03/2020,232.8379
11/03/2020,175.803
12/03/2020,88.5995
13/03/2020,113.4885
14/03/2020,137.1847
15/03/2020,153.3191
16/03/2020,93.2408
17/03/2020,212.0935
18/03/2020,232.7762
19/03/2020,231.222
20/03/2020,179.2068
21/03/2020,158.2096
22/03/2020,194.1538
23/03/2020,194.9122
24/03/2020,204.1663
25/03/2020,159.6206
26/03/2020,131.3763
27/03/2020,115.8464
28/03/2020,71.133
29/03/2020,171.5474
30/03/2020,107.3258
31/03/2020,24.9369
01/04/2020,64.4379
02/04/2020,240.5703
03/04/2020,275.7305
04/04/2020,114.3677
05/04/2020,171.7507
06/04/2020,289.8429
07/04/2020,265.9085
08/04/2020,250.065
09/04/2020,155.1399
10/04/2020,248.3229
11/04/2020,189.4432
12/04/2020,254.1259
13/04/2020,211.8439
14/04/2020,299.6569
15/04/2020,236.1197
16/04/2020,210.6194
17/04/2020,197.0961
18/04/2020,213.555
19/04/2020,201.9075
20/04/2020,210.5961
21/04/2020,151.1494
22/04/2020,195.2432
23/04/2020,187.237
24/04/2020,214.3313
25/04/2020,128.3802
26/04/2020,195.0879
27/04/2020,209.3618
28/04/2020,237.912
29/04/2020,460.1307
30/04/2020,386.093
01/05/2020,316.8032
02/05/2020,258.067
03/05/2020,299.1561
04/05/2020,229.7228
05/05/2020,226.1994
06/05/2020,399.0379
07/05/2020,443.7882
08/05/2020,343.563
09/05/2020,179.4688
10/05/2020,128.8364
11/05/2020,217.3508
12/05/2020,253.4204
13/05/2020,397.4291
14/05/2020,463.7906
15/05/2020,396.4009
16/05/2020,451.8129
17/05/2020,442.7859
18/05/2020,476.3952
19/05/2020,440.8683
20/05/2020,349.1107
21/05/2020,389.8964
22/05/2020,441.8726
23/05/2020,425.8113
24/05/2020,304.4393
25/05/2020,338.0041
26/05/2020,320.2756
27/05/2020,406.4649
28/05/2020,404.3589
29/05/2020,409.3984
30/05/2020,327.345
31/05/2020,333.5164
01/06/2020,352.5908
02/06/2020,544.5335
03/06/2020,381.9074
04/06/2020,382.1453
05/06/2020,287.5564
06/06/2020,345.6137
07/06/2020,332.7075
08/06/2020,351.7094
09/06/2020,317.0406
10/06/2020,316.1751
11/06/2020,468.1209
12/06/2020,293.84
13/06/2020,191.8634
14/06/2020,139.7466
15/06/2020,154.2929
16/06/2020,90.9013
17/06/2020,291.7474
18/06/2020,298.6619
19/06/2020,333.9758
20/06/2020,213.2535
21/06/2020,308.5807
22/06/2020,303.1856
23/06/2020,448.2086
24/06/2020,296.4111
25/06/2020,279.3435
26/06/2020,354.9679
27/06/2020,280.8934
28/06/2020,318.8561
29/06/2020,357.0099
30/06/2020,334.798
01/07/2020,259.2253
02/07/2020,364.9847
03/07/2020,443.043
04/07/2020,367.6067
05/07/2020,423.51
06/07/2020,366.5376
07/07/2020,479.209
08/07/2020,464.7708
09/07/2020,395.1063
10/07/2020,209.2588
11/07/2020,228.4531
12/07/2020,476.3012
13/07/2020,289.0728
14/07/2020,145.4077
15/07/2020,-375.7426
16/07/2020,-419.1193
17/07/2020,26.2757
18/07/2020,49.7298
19/07/2020,29.9386
20/07/2020,57.0091
21/07/2020,127.9644
22/07/2020,280.4144
23/07/2020,230.7552
24/07/2020,182.8328
25/07/2020,221.3226
26/07/2020,258.3104
27/07/2020,600.5882
28/07/2020,344.183
29/07/2020,256.1784
30/07/2020,303.9614
31/07/2020,312.6268
01/08/2020,364.9506
02/08/2020,319.5703
03/08/2020,262.0827
04/08/2020,188.8302
05/08/2020,290.9244
06/08/2020,284.7224
07/08/2020,613.0027
08/08/2020,312.6072
09/08/2020,106.5668
10/08/2020,179.1549
11/08/2020,143.4263
12/08/2020,179.5868
13/08/2020,197.5246
14/08/2020,259.0252
15/08/2020,221.2766
16/08/2020,170.9904
17/08/2020,293.6958
18/08/2020,245.8395
19/08/2020,209.0573
20/08/2020,273.0326
21/08/2020,318.1232
22/08/2020,253.1532
23/08/2020,247.7774
24/08/2020,182.9291
25/08/2020,196.9872
26/08/2020,263.8919
27/08/2020,318.6365
28/08/2020,297.1081
29/08/2020,361.4079
30/08/2020,142.5699
31/08/2020,219.7256
01/09/2020,270.7042
02/09/2020,211.3461
03/09/2020,352.7692
04/09/2020,256.2149
05/09/2020,330.4333
06/09/2020,197.1674
07/09/2020,235.9504
08/09/2020,188.3826
09/09/2020,259.5701
10/09/2020,255.9762
11/09/2020,261.9803
12/09/2020,256.0744
13/09/2020,171.9559
14/09/2020,174.432
15/09/2020,191.0362
16/09/2020,214.554
17/09/2020,216.032
18/09/2020,237.5343
19/09/2020,260.8228
20/09/2020,219.3956
21/09/2020,247.7101
22/09/2020,232.7913
23/09/2020,274.244
24/09/2020,195.2613
25/09/2020,188.435
26/09/2020,201.6391
27/09/2020,191.8646
28/09/2020,242.7209
29/09/2020,286.8077
30/09/2020,227.1236
